trajectory,step,metric,mean,delta_from_base,ci95_low,ci95_high,increased_items,n
base,0,attention_train3_max,0.032702483001221916,0.0,0.0,0.0,0,24
base,0,attention_train3_mean,0.006069614947276381,0.0,0.0,0.0,0,24
base,0,attention_last8_max,0.04952459750461665,0.0,0.0,0.0,0,24
base,0,attention_last8_mean,0.008464616724137506,0.0,0.0,0.0,0,24
base,0,attention_train3_max_lift,0.08087228329146598,0.0,0.0,0.0,0,24
base,0,attention_train3_mean_lift,0.01437154833625597,0.0,0.0,0.0,0,24
base,0,audio_entropy,1.0489020811626872,0.0,0.0,0.0,0,24
base,0,text_entropy,1.2147654969781436,0.0,0.0,0.0,0,24
base,0,entropy_delta,0.16586341581545636,0.0,0.0,0.0,0,24
base,0,entropy_delta_abs,0.27054105206685747,0.0,0.0,0.0,0,24
base,0,training_reference_entropy_delta_abs,0.25258545264966137,0.0,0.0,0.0,0,24
base,0,audio_silence_logprob_delta,0.32903006862186346,0.0,0.0,0.0,0,24
base,0,current_no_features_entropy,1.205531331239513,0.0,0.0,0.0,0,24
base,0,refreshed_reference_entropy_delta,0.1566292500768257,0.0,0.0,0.0,0,24
base,0,refreshed_reference_entropy_delta_abs,0.25258545264966137,0.0,0.0,0.0,0,24
base,0,preceding_reference_entropy_delta,0.1566292500768257,0.0,0.0,0.0,0,24
base,0,preceding_reference_entropy_delta_abs,0.25258545264966137,0.0,0.0,0.0,0,24
base,0,attention_max_late_early_lift,1.2734907286636978,0.0,0.0,0.0,0,24
base,0,attention_mean_late_early_lift,1.424189895135392,0.0,0.0,0.0,0,24
base,100,attention_train3_max,0.039834066770650836,0.00713158376942892,0.0056242721985945215,0.008746775505615765,24,24
base,100,attention_train3_mean,0.007414484325283555,0.0013448693780071742,0.001035224706399981,0.001687268856354671,24,24
base,100,attention_last8_max,0.05693149937446796,0.007406901869851307,0.005940305861498829,0.00897815999887729,24,24
base,100,attention_last8_mean,0.009739073423592214,0.0012744566994547066,0.0009827536372537078,0.001598501235391835,24,24
base,100,attention_train3_max_lift,0.09876272225785858,0.017890438966392575,0.01542783329662121,0.020558979849406925,24,24
base,100,attention_train3_mean_lift,0.01760887358416211,0.003237325247906145,0.002839392228733653,0.003648240484291409,24,24
base,100,audio_entropy,0.9977729200815131,-0.05112916108117424,-0.0550432857264785,-0.04723830110250933,0,24
base,100,text_entropy,1.1724437601616642,-0.04232173681647957,-0.046142843634629775,-0.03883587587993798,0,24
base,100,entropy_delta,0.17467084008015102,0.008807424264694682,0.005472688777058019,0.01210260122562943,22,24
base,100,entropy_delta_abs,0.27562808249373166,0.005087030426874203,0.0025549171452215365,0.007587948550939904,20,24
base,100,training_reference_entropy_delta_abs,0.2740303666027602,0.02144491395309885,0.016415374841636434,0.026196737188914406,22,24
base,100,audio_silence_logprob_delta,0.3370880898123573,0.00805802119049385,0.005980712025789884,0.010199672590608498,22,24
